"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"Si Sa Ket",51.9190382415091,48.6572206495254,48.7202226944584,47.1682034294484,45.1470742315341,31.4379115674553,29.7035022776011,35.1024829205021,33.7091223232634,38.9009493748944,39.4079944760778,38.0999994079163,38.1180555049981,37.9294953225095,37.1466706141271,36.6925154639719,29.9104578995564,28.2715748105219,37.2072720743748,35.3583241222236,36.8659265921637,35.844593161199,39.3723364478212,38.363651862044,40.1878967643779,38.1698012436959
"Songkhla",34.3064685065937,32.5053741271741,40.0025515056613,40.3615067464017,38.2594444523589,35.904327750786,35.7004196062536,29.0125020255368,24.3820777131891,47.9291210483161,44.0279256806118,40.4620900514219,39.3439720639348,41.2496089445396,38.0216561292217,40.1293901797952,47.1577008230342,45.6347766609766,36.8055377256193,36.0868472939353,42.7726712010571,40.5688664868643,32.8563785558033,31.0432533112071,50.3983426179638,48.0766196909896
"Sukhothai",49.531562507325,47.4144230547951,43.5915289043309,42.5411022029246,42.3272423960556,34.4809247780349,33.4313827746646,30.0453163655022,27.5861541513796,48.2161284901445,45.3624605813793,40.4139168664759,39.5518059733192,38.1990117867695,36.7493072593002,37.2501687406605,36.9406336129593,36.8322175845571,32.9650529753114,31.5348892385479,38.4462502312217,38.039800478536,35.5763393829547,34.882178691468,50.1430564433885,52.245475367791
"Suphan Buri",43.4218346054561,42.7011955144477,40.519012785587,40.4681615861755,39.6061254143403,30.1127665308801,26.686397858025,30.4475123859462,27.4835931601998,36.6591861520737,36.7930937525622,43.2039521589105,42.3552269969322,37.8863932600506,37.2687271239164,36.4434621264641,42.0201612973208,41.1992391892908,39.0872149186567,38.7282019051905,36.0814235069476,34.5138158953101,37.8970453012335,36.7513453207489,56.7274350432189,52.9427797914998
"Surat Thani",35.7767392709217,36.0792638858756,40.5392469875586,39.7977233305924,39.5191118193068,31.7159679908285,28.0228506344979,39.5772370585794,38.2573161529373,37.041775749241,34.6720931090389,47.0389364965397,43.4700422513829,42.3118039716366,41.4396222031736,40.3569949351367,41.84543983342,40.422686957355,41.6388132799871,40.5373907755568,34.2060989811052,32.5739999013446,35.9138153519963,35.9453152584607,41.6375839355185,38.7617376082394
"Surin",55.7963679580041,50.0725238212201,41.4087838436186,40.4300302811255,40.9121685358403,35.7190957315902,34.800056579136,34.4540682079408,32.6224363542385,39.6676480786452,38.1937209274543,37.3133846671557,36.8421315519886,40.9048327642602,38.4608520191953,38.8099001576248,35.0843229877273,34.6874025765068,34.4807468529441,33.561785158699,36.9602247681938,35.3045269506046,39.8933413779011,38.7670712868061,39.5596155116769,40.4262964474234
"Tak",38.7185232618193,36.8694186172926,38.1188054703274,38.4800397798772,36.4362226021938,32.3166602733184,30.9363260293405,31.1314613897684,29.638341766299,35.7567197214216,34.4558040186144,40.0833279661292,38.2371222047409,31.9225255595298,32.8495243554566,31.2065454073992,33.4992931908984,32.1064277019992,35.045631955556,34.7081829432384,29.2447488026935,27.0287452538216,35.7605225795702,34.0475716789127,44.1452884673573,39.1731186645227
"Trang",34.6805847708002,33.3248346505745,35.3055500648918,32.484912214214,34.4735854829494,47.3525284849161,42.5031975851003,40.2411211817148,37.4277804739318,37.4890128455324,36.3217476141439,34.2764960125239,37.0667527459301,41.7575391568617,42.7113474089144,40.0165195433549,35.9559826105059,32.3282403152131,42.3920067216906,42.4213834249663,38.2946022261553,33.9029707764999,40.4000737811926,36.1827064583417,44.8395284315875,39.2944588312121
"Trat",39.4244729586596,37.3413808252355,38.8218115654514,37.56795176118,35.8623479011755,37.3554594194492,34.1528843053169,36.0418574029699,35.7672945452603,44.4102547289546,40.2600773863282,39.7317377217617,38.3102375826188,39.3494609050263,39.6405225387402,38.1077548775448,32.2698148399369,30.5910099584838,32.4707200140581,31.205799930198,35.1805736107695,35.9103157063786,32.49889558874,29.3551115414334,34.4729936807591,31.6589302108892
"Ubon Ratchathani",53.9881255568295,49.845831376117,47.1451365078603,45.6958830881882,45.3038279345597,36.2948197850495,35.8547776291608,36.3312762794878,36.1851253265718,40.4016920383197,39.5262726034376,34.3626759234698,32.520957693106,35.9063830411725,34.966873392786,34.2683068254675,37.8735014343151,38.3782522666433,38.2215522562635,37.5386565705298,37.3064005412216,34.8354207787409,34.9825942987369,31.5509726319895,46.3060899486016,43.1581058958031
"Udon Thani",47.9380935738194,46.5288979541484,47.1240935274124,45.9953478769029,45.0819324185002,33.0434848354791,30.3752059490283,35.5486018594498,34.9922045777612,39.7466621991374,38.6472064421224,34.9159798100797,33.2976685355056,34.8333541209867,33.2378737310914,33.5075289465783,36.6365193883488,35.2626500404959,37.9904116229636,35.834209175595,39.4099895405207,39.0146595265755,33.0070461791695,32.0324227694948,59.6710799390472,50.7916400971649
"Uthai Thani",3.51859969567455,3.40342375034726,3.41510861588966,3.40344880140079,3.31656070600592,2.12100862867028,1.75202233410246,2.47844418617167,2.31006236380625,2.63465669484849,2.2394329433504,3.8977733916662,3.5896027639171,2.57070503955681,2.53162753201973,2.27276644723362,3.28935828475211,3.05472374686939,2.88549709248346,2.65075467683743,3.49351353498004,3.30693891527503,3.17140424386007,3.11803353224864,3.68747039373306,3.53935597842771
"Uttaradit",42.0371027635991,41.3642131833652,45.207057699545,44.0246413233947,43.2939444624912,35.0808131595333,33.6980476217949,30.6544918131994,27.0380807122422,40.8474907634151,40.2164457197174,42.08798654858,41.2107335921759,37.208816475656,35.0272124961813,35.9102064771607,32.0582451794785,31.2799489843787,39.9286081346752,40.3374279464875,38.513294891305,37.2912721868193,36.2642153041303,35.0652837360797,50.3712725457506,52.1424094196263
"Yala",35.4546953634597,35.848141863338,36.6876980580625,36.7280351064573,34.754217208215,35.1535871387081,33.1068271720392,36.5686221398057,36.4987152364198,39.8240881853916,37.3359951262733,35.5814507959362,36.1895440024585,41.2343941280145,40.7872338869849,40.4402092027471,32.8365822755211,30.6112360884366,43.0343428820581,41.6264988245329,32.2123602894257,31.3166328271784,47.1101539534701,45.3635615732837,45.1542390095852,43.2001905581341
"Yasothon",54.0841764437307,48.0207023599435,52.447002907788,47.2521011133181,45.9745987869901,31.6343794964829,30.0492773894064,37.3301087503613,38.1765419199091,32.5548451528734,32.2394512316821,41.7846352656591,41.5343513556202,35.4364578951332,32.9393506595367,33.1206249997849,35.6372361154583,34.9449696735697,34.4987821701286,33.1685534810048,36.5456695357781,35.4826503753728,43.7146310697694,41.0928599433987,32.55692511381,31.0567357173839
