"","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"WithoutVacc",27.447,25.504,23.728,22.137,20.79,19.679,18.722,17.8,16.84,15.841,14.88,14.025,13.32,12.764,12.323,11.927,11.51,11.041,27.447,25.504,23.728,22.137,20.79,19.679,18.722,17.8,16.84,15.841,14.88,14.025,13.32,12.764,12.323,11.927,11.51,11.041
"WithVacc",27.447,26.454,25.504,24.595,22.5416,16.95044,12.17535,10.28736,7.6923,6.87072,3.9358,4.02969,4.86772,3.6526,2.492,1.55943,1.3472,1.14387,0.633640000000001,0.614080000000001,0.892800000000001,0.866100000000001,0.841500000000001,0.54612,0.5328,0.521,0.51056,0.50132,0.24646,0.24246,0.23854,0.2345,0.2302,0.11281,0.11041,0.1079
