"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36"
"Phangnga",182004.5714,185012.7143,188020.8571,179000,181000,201000,208700,215300,221100,206209,211385,213314,217870,219070,221785,224500,227914,233143,236151.1429,239159.2857,242167.4286,245175.5714,248183.7143,251191.8571,254200,257208.1429,260216.2857,263224.4286,266232.5714,269240.7143,272248.8571,275257,278265.1429,281273.2857,284281.4286,287289.5714
"Phatthalung",421259.2505,425915.7956,430572.3407,424000,430000,450000,459600,468500,476700,452409,457913,462878,474564,485768,488547,491326,494745,500420.5165,505077.0615,509733.6066,514390.1516,519046.6967,523703.2418,528359.7868,533016.3319,537672.8769,542329.422,546985.967,551642.5121,556299.0571,560955.6022,565612.1473,570268.6923,574925.2374,579581.7824,584238.3275
"Phayao",462743.1319,466309.2308,469875.3297,484000,491000,471200,474400,477200,479700,496443,501539,505359,512473,510803,513471,517257,517850,523366.8132,526932.9121,530499.011,534065.1099,537631.2088,541197.3077,544763.4066,548329.5055,551895.6044,555461.7033,559027.8022,562593.9011,566160,569726.0989,573292.1978,576858.2967,580424.3956,583990.4945,587556.5934
"Phetchabun",821408.4681,835765.9978,850123.5275,855000,875000,887100,912700,937700,962500,937113,949041,958615,996256,1037352,1042094,1026137,1032662,1065486.473,1079844.002,1094201.532,1108559.062,1122916.591,1137274.121,1151631.651,1165989.18,1180346.71,1194704.24,1209061.769,1223419.299,1237776.829,1252134.358,1266491.888,1280849.418,1295206.947,1309564.477,1323922.007
"Phetchaburi",373083.2308,378168.5824,383253.9341,384000,393000,400820,404700,408000,411200,421166,425553,429873,438615,441012,444444,447094,450040,459534.2088,464619.5604,469704.9121,474790.2637,479875.6154,484960.967,490046.3187,495131.6703,500217.022,505302.3736,510387.7253,515473.0769,520558.4286,525643.7802,530729.1319,535814.4835,540899.8352,545985.1868,551070.5385
"Phichit",573293.5516,573688.5011,574083.4505,619000,631000,547430,550300,551900,554000,549369,555980,559823,587414,589917,593178,592125,597202,580007.6923,580402.6418,580797.5912,581192.5407,581587.4901,581982.4396,582377.389,582772.3385,583167.2879,583562.2374,583957.1868,584352.1363,584747.0857,585142.0352,585536.9846,585931.9341,586326.8835,586721.833,587116.7824
"Phitsanulok",683847.5121,694598.789,705350.0659,755000,767000,717180,723700,730100,735600,772093,781100,791279,842016,839273,848924,846630,853890,866619.2198,877370.4967,888121.7736,898873.0505,909624.3275,920375.6044,931126.8813,941878.1582,952629.4352,963380.7121,974131.989,984883.2659,995634.5429,1006385.82,1017137.097,1027888.374,1038639.651,1049390.927,1060142.204
"Phrae",456528.6703,459369.3516,462210.033,456000,461000,468210,474900,480900,486600,488673,492022,494129,493532,491194,494355,493505,494192,504820.2527,507660.9341,510501.6154,513342.2967,516182.978,519023.6593,521864.3407,524705.022,527545.7033,530386.3846,533227.0659,536067.7473,538908.4286,541749.1099,544589.7912,547430.4725,550271.1538,553111.8352,555952.5165
"Phra Nakhon Si Ayutthaya",594802.8308,602436.3824,610069.9341,625000,634000,629220,631800,634100,635900,676318,681920,688887,693230,691569,699400,706502,714656,724573.2088,732206.7604,739840.3121,747473.8637,755107.4154,762740.967,770374.5187,778008.0703,785641.622,793275.1736,800908.7253,808542.2769,816175.8286,823809.3802,831442.9319,839076.4835,846710.0352,854343.5868,861977.1385
"Phuket",116390.2626,122281.5846,128172.9066,134000,136000,153000,157900,161700,166100,160673,165389,172147,188535,194178,200977.5,207777,214633,216542.7363,222434.0582,228325.3802,234216.7022,240108.0242,245999.3462,251890.6681,257781.9901,263673.3121,269564.6341,275455.956,281347.278,287238.6,293129.922,299021.244,304912.5659,310803.8879,316695.2099,322586.5319
